water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Borehole,Awdal,Borama,Dhamuug BH4,Boorama,9.94936,43.21974,Yes,Yes,38.0,,,,
Borehole,Awdal,Borama,Dhamuug BH5,Amoud,9.9495,43.2197,Yes,Abandoned,71.0,,,,
Borehole,Awdal,Borama,Dhamuug BH6,Boorama,9.9494,43.2197,No,No,39.0,,,,
Borehole,Awdal,Borama,Old dhamuug BH8,Amoud,9.9511,43.2197,Yes,Abandoned,63.0,,,,
Borehole,Awdal,Borama,Shifo BH2,Daremacane,9.9695,43.2197,Yes,Yes,8.0,,,,
Borehole,Awdal,Borama,Dhamuug BH8,Boorama,9.9511,43.2198,Yes,Yes,35.0,,,,
Borehole,Awdal,Borama,Amoud university  BH,Amoud,9.9438,43.22,Yes,Yes,40.0,,,,
Borehole,Awdal,Borama,Dhamuug BH19,Amoud,9.95,43.2227,Yes,Yes,68.0,,,,
Dug Well,Awdal,Lughaye,Beeyoliibaan,Lughaye,10.668,43.892,Yes,Yes,,9.0,,,
Borehole,Awdal,Borama,Amoud,Amoud ,9.9474,43.2244,Yes,Yes,26.0,,,,
Borehole,Awdal,Borama,Agoomaha BH1,Amoud,9.9524,43.2255,Yes,Yes,210.0,,,,
Borehole,Awdal,Borama,"Dhamuug BH7
",Amoud,9.9473,43.2245,Yes,Yes,65.0,,,,
Borehole,Awdal,Borama,Agoomaha BH2,Amoud,9.9548,43.2251,Yes,No,90.0,,,,
Borehole,Awdal,Borama,Agoomaha BH5,Amoud,9.9405,43.2255,Yes,Yes,90.0,,,,
Borehole,Awdal,Zeylac,Ceelgaal BH2,Ceelgaal,10.9899,43.4427,No,No,60.0,,,,
Borehole,Awdal,Borama,Mohamed caduur yusuf,Amoud,9.9527,43.2274,Yes,No,20.0,,,,
Borehole,Awdal,Borama,Hussien hadi BH,Amoud,9.995,43.2288,Yes,Yes,70.0,,,,
Borehole,Awdal,Borama,Dahir rayaale kaahin,Amoud,9.9481,43.2297,Yes,No,11.0,,,,
Borehole,Awdal,Borama,Barkhad aadan jamac,Amoud,9.9474,43.2307,Yes,No,80.0,,,,
Borehole,Awdal,Borama,Bor; B_041,,9.92861,43.2457,,Yes,70.0,,,,
Borehole,Awdal,Borama,Mixile BH,Amoud,9.9527,43.2328,Yes,Yes,60.0,,,,
Borehole,Awdal,Borama,Dhamuug BH 22,Amoud,9.9493,43.2341,Yes,Yes,20.0,,,,
