water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Dug Well,Awdal,Borama,Abokor Cadaawe 3,Baki Town,10.0343,43.3432,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Cad Cad 2,Jaaraa Horoto,9.8638,43.3266,Yes,Yes,,8.0,,,
Borehole,Awdal,Lughaye,Kalawle BH2,Kalawle,10.5533,43.8519,No,No,,,,,
Borehole,Awdal,Borama,Dhamuug BH17 Shayla,Boorame,9.909,43.2026,Yes,Yes,34.0,,,,
Borehole,Awdal,borama,Afraag BH4,Cunaqabad,9.9313,43.0772,Yes,Abandoned,100.0,,,,
Borehole,Awdal,Borama,Qolijeed,Qolijeed,10.0878,43.029,Yes,Yes,55.0,,,,
Borehole,Awdal,Borama,Abasa BH1,Abasa,10.1724,43.1472,Yes,Yes,30.0,,,,
Dug Well,Awdal,Baki,Kibali,Ceel Sheekh,10.4391,44.2057,,,,,,,
Borehole,Awdal,Borama,Agomaha BH2,Agoomaha,9.9389,43.2015,Yes,Yes,70.0,,,,
Borehole,Awdal,Baki,Waraabe dareeri bore hole,Waraabe dareeri,10.2745,43.6708,Yes,Yes,18.0,,,,
Dug Well,Awdal,Borama,Lafa Maroodi 3,Baki Town,10.0104,43.347,Yes,Yes,,9.0,,,
Borehole,Awdal,Zeylac,Waraaboodka,Waraaboodka,11.2657,43.3013,Yes,Yes,47.0,,,,
Borehole,Awdal,Baki,Warqa dhigta bore hole,Warqa dhigta,10.1776,43.6166,Yes,Yes,15.0,,,,
Borehole,Awdal,Baki,Hadayta bore hole,Hadayta,10.5198,44.0249,Yes,No,40.0,,,,
Borehole,Awdal,Baki,Abdi geedi bore hole,Abdi geedi,10.5086,44.0493,Yes,Yes,16.0,,,,
Borehole,Awdal,Baki,Ceel La helay Bore hole,Ceel LA helay,10.2685,44.0824,Yes,Yes,60.0,,,,
Borehole,Awdal,Baki,Fardaale farm bore hole,Ceel La helay,10.3257,44.1176,Yes,Yes,30.0,,,,
Borehole,Awdal,Borama,Quljeed BH3,Quljeed,10.0942,43.0154,Yes,Yes,30.0,,,,
Dug Well,Awdal,Borama,Biyo Cad Dug Well,Gorayo Cawl,9.8978,43.2356,Yes,Yes,,1.0,,,
Borehole,Awdal,Borama,Quljed BH1,Quljed,10.0879,43.029,Yes,Yes,61.3,,,,
Borehole,Awdal,Borama,Quljeed BH2,Quljeed,10.0839,43.0488,Yes,Yes,30.0,,,,
Borehole,Awdal,Borama,Degmolaqas,Degmo laqas,9.9464,43.0747,Yes,Yes,80.0,,,,
Borehole,Awdal,Borama,Afraag BH1,Afraaga,9.9432,43.0761,Yes,Yes,100.0,,,,
Borehole,Awdal,Borama,Afraag BH2,Afraag,9.9431,43.0761,Yes,Yes,75.0,,,,
Borehole,Awdal,Borama,Afraag BH3,Afraag,9.9355,43.081,Yes,Yes,100.0,,,,
Borehole,Awdal,Borama,Gor goorey,Gor goorey,10.3238,43.0966,Yes,No,51.0,,,,
Borehole,Awdal,Borama,Abdi farah Ahmed,Saw hotel,9.9049,43.1613,Yes,No,50.0,,,,
Borehole,Awdal,Borama,Cabdi farah Ahmed BH,Saw Hotel,9.9049,43.1641,Yes,Yes,50.0,,,,
Borehole,Awdal,Borama,Xaliimaale,Xaliimaale Town,10.2503,43.1632,Yes,No,105.0,,,,
Borehole,Awdal,Borama,Abasa BH2,Abasa,10.1573,43.1668,Yes,Yes,36.0,,,,
Borehole,Awdal,Zeylac,Laagta Morohda,Laagta Morohda,10.8468,43.2621,Yes,Yes,,,,,
Borehole,Awdal,Borama,Qaws BH,Tuur qayle,9.96596,43.17034,Yes,Abandoned,115.0,,,,
Borehole,Awdal,Borama,Qows,Tuur qaylo,9.966,43.1703,No,No,89.0,,,,
Borehole,Awdal,Borama,Saw hotel,Saw hotel,9.9146,43.1777,Yes,Yes,90.0,,,,
Borehole,Awdal,Borama,Agoomaha BH4,Amoud,9.9462,43.1926,Yes,Yes,50.0,,,,
Borehole,Awdal,Borama,ARC BH1,Boorame,9.94617,43.19262,Yes,No,31.0,,,,
Borehole,Awdal,Zeylac,Caynajirbh,Toqoshi,11.3034,43.3532,No,No,,,,,
Borehole,Awdal,Lughaye,Kalawla bore hole 2,Kalowle,10.5534,43.8518,Yes,Yes,,,,,
Borehole,Awdal,Lughaye,Kalawle/B-050,,10.55195,43.8518,,Yes,63.7,,,,
Borehole,Awdal,Lughaye,Karuure/B-051,,10.75181,43.59154,,,68.5,,,,
Borehole,Awdal,Lughaye,Karuure BH1,Karuure,10.7518,43.5915,Yes,Yes,70.0,,,,
Borehole,Awdal,Lughaye,Karuura bore hole 1,Karuure,10.7531,43.59,Yes,Yes,70.0,,,,
Borehole,Awdal,Zeylac,Team3,Xarirad,10.3159,42.8293,Yes,Yes,20.0,,,,
Borehole,Awdal,Zeylac,Jidhibh,Jidhi,10.6252,43.0718,Yes,Yes,35.0,,,,
Borehole,Awdal,Zeylac,Jidhi,Jidhi,10.6253,43.0718,Yes,Yes,65.0,,,,
Borehole,Awdal,Zeylac,Lantamorhda,Lantamorohda,10.8467,43.2621,Yes,Yes,130.0,,,,
Borehole,Awdal,Zeylac,Warabodbh,Toqoshi,11.2657,43.3011,Yes,Yes,40.0,,,,
Borehole,Awdal,Zeylac,Quudabh,Toqoshi,11.3257,43.3771,Yes,Yes,24.0,,,,
Borehole,Awdal,Zeylac,Ceelgaal BH1,Ceelgaal,10.9757,43.4382,Yes,Yes,80.0,,,,
Dug Well,Awdal,Baki,Gego,Baki,10.0318,43.3655,,,,7.0,,,
Dug Well,Awdal,Borama,Dabadilaac,Fiqi Aadan,10.3857,43.2339,Yes,Yes,,4.0,,,
Spring,Awdal,Borama,IL Gorey 3,Baki,10.07,43.3338,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Fadhi Xun 1,Weeraar,10.2924,43.2962,Yes,Yes,,7.0,,,
Dug Well,Awdal,Borama,Heg well 1,,10.0672,43.2503,Yes,Yes,,6.5,,,
Spring,Awdal,Baki,Garaska,Xoorey,10.1897,43.4359,Yes,Yes,,,,,
Dug Well,Awdal,Zeylac,Habaas,Cabdi Qaabir,10.4319,42.8116,Yes,Yes,,4.0,,,
Dug Well,Awdal,Baki,BGWW45,,10.0347,43.3517,Yes,Yes,,3.9,,,
Spring,Awdal,Baki,Nidiq,Qabuurta,10.0489,43.4948,No,Yes,,,,,
Dug Well,Awdal,Borama,Laas Dhuure Dug Well,Xeego Town,10.0821,43.2598,,Abandoned,,3.0,,,
Dug Well,Awdal,Baki,RHSW44,,9.9511,43.4339,Yes,Yes,,6.7,,,
Spring,Awdal,Zeylac,Isha Dibiro Weyne,Habaas,10.4182,42.814,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Ceel La Helay 3,Bildhaaley,10.2694,44.0827,,,,6.5,,,
Dug Well,Awdal,Zeylac,Baxarasafka2,Baxarasafka,10.5545,42.9087,no,No,,,,,
Dug Well,Awdal,Zeylac,Magab,Abdiqadir,10.5146,42.8882,no,No,,,,,
Dug Well,Awdal,Borama,BABOW3,,10.0194,43.335,Yes,Yes,,3.3,,,
Dug Well,Awdal,Zeylac,Abdiqadir 1,Abdiqadir,10.5153,42.8882,no,Yes,,3.0,,,
Dug Well,Awdal,Baki,BAGW16,,10.0192,43.3528,Yes,Yes,,6.0,,,
Dug Well,Awdal,Borama,Cad Cad 3,Jaaraa Horoto,9.8636,43.3266,Yes,Yes,,2.0,,,
Dug Well,Awdal,Zeylac,Nuur odawa2,Nuur odawa,10.6155,42.7477,no,Abandoned,,,,,
Dug Well,Awdal,Baki,Old Baki 1,Old Baki Town,9.946,43.3469,Yes,Yes,,1.5,,,
Dug Well,Awdal,Baki,Geb,Sheed Dheer,10.3085,43.4693,Yes,Yes,,5.0,,,
Dug Well,Awdal,Baki,BASHW7,,10.0344,43.3508,Yes,Yes,,10.0,,,
Dug Well,Awdal,Baki,BAGW4,,10.0189,43.3525,Yes,Yes,,7.5,,,
Spring,Awdal,Borama,IL Gorey 1,Baki Town,10.0726,43.3347,Yes,Yes,,,,,
Dug Well,Awdal,Baki,BAGW13,,10.0025,43.3525,Yes,Yes,,7.3,,,
Dug Well,Awdal,Baki,Old Baki 2,Old Baki,9.9465,43.3469,Yes,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Say; W_026,,10.43128,42.81009,,Yes,,,,,
Dug Well,Awdal,Baki,Ceel La Helay 1,,10.2692,44.0827,,Yes,,1.5,,,
Dug Well,Awdal,Baki,BGWW52,,10.0347,43.3525,Yes,Yes,,10.0,,,
Dug Well,Awdal,Baki,RJGW03,,9.9681,43.4192,Yes,Yes,,6.0,,,
Dug Well,Awdal,Baki,BAGW9,,10.0194,43.3522,Yes,Yes,,5.0,,,
Dug Well,Awdal,Zeylac,Dudub,Dudub,10.3808,42.8103,no,Abandoned,,,,,
Dug Well,Awdal,Baki,RHSW43,,9.9525,43.4194,Yes,Yes,,10.0,,,
Dug Well,Awdal,Baki,Abdi cige caynashe,Old bki,9.9467,43.3474,yes,Yes,,2.0,,,
Dug Well,Awdal,Baki,BAGW10,,10.0192,43.3522,Yes,Yes,,10.5,,,
Dug Well,Awdal,Baki,BAGW8,,10.0333,43.3522,Yes,Yes,,7.5,,,
Dam,Awdal,Borama,Idiris Dam,Boorame Town,9.9295,43.1643,,Yes,,,,,
Dug Well,Awdal,Baki,BAGW11,,10.0336,43.3522,Yes,Yes,,3.8,,,
Dug Well,Awdal,Baki,BAGW12,,10.0336,43.3525,Yes,Yes,,5.6,,,
Dug Well,Awdal,Baki,BAGW17,,10.0192,43.3667,Yes,Yes,,6.4,,,
Dug Well,Awdal,Baki,BAGW23,,10.0183,43.3669,Yes,Yes,,9.0,,,
Dug Well,Awdal,Baki,Caroweyn,Caro weyn,10.2802,43.4125,yes,Yes,,4.0,,,
Dug Well,Awdal,Baki,RGGW06,,9.9692,43.4175,Yes,Yes,,7.8,,,
Dug Well,Awdal,Baki,RQDHW,,9.9667,43.4178,Yes,Yes,,8.5,,,
Dug Well,Awdal,Baki,RIWW01,,9.9678,43.4189,Yes,Yes,,10.3,,,
Dug Well,Awdal,Baki,Ruqi,Ruqi,9.9688,43.4325,yes,Yes,,3.0,,,
Dug Well,Awdal,Baki,RHW2,,9.9683,43.4339,Yes,Yes,,10.5,,,
Dug Well,Awdal,Baki,RHW1,,9.9683,43.4342,No,No,,13.4,,,
Dug Well,Awdal,Baki,Sheed-Dheer 1,,10.3215,43.4876,,,,8.0,,,
Dug Well,Awdal,Baki,Sheed dheer Dug Well,Sheed dheer,10.2997,43.5212,yes,Yes,,8.0,,,
Dug Well,Awdal,Baki,Warqa dhigta shellow,Warqa dhigta,10.1788,43.619,yes,Yes,,3.0,,,
Dug Well,Awdal,Baki,Garabo dadar shellow,Garabo dadar,10.2204,43.6264,yes,Yes,,2.0,,,
Dug Well,Awdal,Baki,Sheed-Dheer 3,,10.2232,43.6272,,Yes,,,,,
Dug Well,Awdal,Borama,Daremacane,Daremacane,9.9662,43.2217,yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,ADAD WELL 2,,10.1358,43.25,Yes,Yes,,4.0,,,
Dug Well,Awdal,Borama,HEG.W4,,10.0667,43.2514,Yes,Yes,,4.0,,,
Dug Well,Awdal,Borama,Xeego,Xeego,10.0815,43.263,yes,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Saylac,,10.4313,42.8101,,Yes,,,,,
Dug Well,Awdal,Borama,Fadhi xun,Fadhi xun,10.2913,43.296,yes,Yes,,5.0,,,
Dug Well,Awdal,Borama,Fadhi Xun 2,Weeraar,10.2922,43.296,Yes,No,,6.0,,,
Dug Well,Awdal,Zeylac,Madaxdadley,Madaxdadlay,10.5569,42.9519,no,Yes,,4.0,,,
Dug Well,Awdal,Borama,Jarahoroto cad cad,Jarahoroto,9.8641,43.3266,yes,Yes,,1.0,,,
Dug Well,Awdal,Borama,Cad Cad 1,Jaaraa Horoto,9.8642,43.3268,Yes,Yes,,6.0,,,
Dug Well,Awdal,Borama,Old Camuud,Boorame Town,9.9372,43.3272,Yes,Yes,,5.0,,,
Dug Well,Awdal,Borama,BABOW5,,10.0189,43.3344,Yes,Yes,,6.3,,,
Dug Well,Awdal,Borama,BABOW4,,10.0192,43.3347,Yes,Yes,,5.7,,,
Dug Well,Awdal,Lughaye,Garaaca Dug Well,Garaaca,10.715,43.8219,yes,Yes,,4.0,,,
Dug Well,Awdal,Lughaye,Iddo cadays shellow well,Iddo cadays,10.6166,44.0303,yes,Yes,,9.0,,,
Dug Well,Awdal,Lughaye,Farda Lagu-Xigh/W-034,,10.40974,43.45078,,,,12.0,,,
Dug Well,Awdal,Lughaye,Garaaca/W-031,,10.7157,43.82224,,Yes,,4.0,,,
Dug Well,Awdal,Lughaye,Geerisa/W-032,,10.60942,43.43285,,Yes,,10.0,,,
Dug Well,Awdal,Zeylac,Nuur odowa,Nuur odowa,10.6152,42.7484,no,Yes,,2.0,,,
Dug Well,Awdal,Zeylac,Habas2,Habas,10.4313,42.81,no,No,,3.0,,,
Dug Well,Awdal,Zeylac,Habaas 2,Cabdi Qaadir,10.4313,42.8101,Yes,Yes,,,,,
Dug Well,Awdal,Zeylac,Habas1,Habas,10.4297,42.8132,no,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Dahir,Abdiqadir,10.5065,42.8829,no,Yes,,2.0,,,
Dug Well,Awdal,Zeylac,c/qaadir,,10.5156,42.8879,,Yes,,,,,
Dug Well,Awdal,Zeylac,Shiikhaware,Shiikhaware,10.4442,43.0493,no,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Caliwaci1,Calieweci,10.9705,43.102,no,Yes,,,,,
Spring,Awdal,Baki,Beeyo Kulul,Dacawaley,10.4249,43.613,Yes,Yes,,,,,
Dam,Awdal,Borama,Dr. Qaws Dam,Boorame,9.9645,43.1711,No,Yes,,,,,
Spring,Awdal,Borama,Himbil,Xoorey,10.1785,43.3594,No,Yes,,,,,
Dam,Awdal,Borama,Derida Daba Buureed,Afraaga,9.9457,43.0832,Yes,Yes,,,,,
Dam,Awdal,Baki,Jaaraa Horoto,Jaaraa Horoto,9.8336,43.3404,No,Yes,,,,,
Dam,Awdal,Borama,Magaalacad dam 1,Magaalacad,9.6917,43.2853,Yes,Yes,,,1.0,,
Dam,Awdal,Borama,Magaalacad dam 3,Magaalacad,9.6952,43.3034,Yes,Yes,,,1.0,,
Dam,Awdal,Borama,Ciise farax geele,Dila,9.7755,43.3471,Yes,Yes,,,1.0,,
Dam,Awdal,Borama,Abdi hassan cige,Dila,9.7658,43.3302,Yes,Yes,,,2.0,,
Dam,Awdal,Borama,Holhol Dam,Holhol Town,9.9206,43.1403,Yes,Yes,,,,,
Dam,Awdal,Borama,Magaalo Cad 1,Magaalo Cad,9.6948,43.2974,No,Yes,,,,,
Dam,Awdal,Borama,Carro Garanuug,Boorame Town,9.9699,43.1458,Yes,Yes,,,,,
Dam,Awdal,Borama,Hol hol,Hol hol,9.9207,43.1412,Yes,Yes,,,3.0,,
Dam,Awdal,Borama,Magaalacad dam 2,Magaalacad,9.6965,43.2972,Yes,Yes,,,1.0,,
Dam,Awdal,Borama,Dam mixile,Amoud,9.9554,43.2356,Yes,No,,,,,
Dam,Awdal,Borama,Tuur qayle,Tuur qayle,9.9643,43.1708,Yes,Yes,,,1.0,,
Dam,Awdal,Borama,Abuqays,Abuqays,9.9276,43.1106,Yes,Yes,,,3.0,,
Dam,Awdal,Borama,Idiris,Borama,9.9297,43.1649,Yes,Yes,,,-5.0,,
Dam,Awdal,Borama,Ahmed daaud,Dila,9.7738,43.3446,No,No,,,0.0,,
Dam,Awdal,Borama,Mahamed daauud,Dila,9.7712,43.3451,No,No,,,1.0,,
Spring,Awdal,Baki,Ruqi 2,Ruqi Town,9.9701,43.4357,Yes,Yes,,,,,
Spring,Awdal,Baki,Ruqi 3,Ruqi,9.982,43.433,No,Yes,,,,,
Spring,Awdal,Zeylac,Mashruuca Dibira Weyne,,10.432,42.8233,,Yes,,,,,
Spring,Awdal,Zeylac,Saabuunle,Cabdilqaadir,10.5176,42.8888,Yes,Yes,,,,,
Spring,Awdal,Lughaye,Farado lag xidh,Fardo lugu xidh spring,10.4053,43.4481,no,Yes,,,,,
Spring,Awdal,Zeylac,Baxarasaf,Bxarasaf,10.5582,42.9095,no,Yes,,,,,
Spring,Awdal,Baki,Ceel La Helay Spring,Ceel La Helay,10.2825,44.0844,Yes,Yes,,,,,
Spring,Awdal,Baki,Dur durka xamarta,Dur Durka xamarta,10.1281,43.3677,yes,Yes,,,,,
Spring,Awdal,Baki,Ruqi 1,Ruqi  Town,9.9699,43.4327,Yes,Yes,,,,,
Spring,Awdal,Baki,Ruki,,9.9701,43.433,,,,,,,
Spring,Awdal,Baki,Celi,,10.2133,43.6253,,Yes,,,,,
Spring,Awdal,Baki,Garabo dadar spring,Garabo dadar,10.2343,43.6394,yes,Yes,,,,,
Spring,Awdal,Baki,Qsali,Osali,10.4172,43.7011,Yes,Yes,,,,,
Spring,Awdal,Baki,Qabri baxar spring,Qabri baxar velly,10.2882,43.7136,no,Yes,,,,,
Spring,Awdal,Baki,Beliga spring,Baliga,10.3078,43.7375,no,Yes,,,,,
Spring,Awdal,Baki,Gargaara spring,Gargaara bari,10.313,43.8065,yes,Yes,,,,,
Spring,Awdal,Baki,Celi/S-OO4,,10.21332,43.62526,,Yes,,,,,
Spring,Awdal,Baki,Qsali/S-003,,10.41723,43.7011,,,,,,,
Spring,Awdal,Baki,Ruki,,9.97009,43.43296,,,,,,,
Spring,Awdal,Baki,Ruqi/S-001,,9.97009,43.43296,,Yes,,,,,
Spring,Awdal,Borama,Xarirad spring,Xarirad,10.3265,42.8414,no,Yes,,,,,
Spring,Awdal,Borama,Isha Xariirad,Xariirad,10.3279,42.8431,Yes,Yes,,,,,
Spring,Awdal,Borama,Xareed Madihe Darya Dheere Valley,xariirad,10.2326,42.9032,Yes,Yes,,,,,
Spring,Awdal,Borama,Ciinka,Xariirad,10.2324,42.904,Yes,Yes,,,,,
Spring,Awdal,Borama,Darayo,Darayo,10.2623,42.9051,yes,Yes,,,,,
Spring,Awdal,Borama,Nadhi Valley,Jirjir Village,10.0708,43.1123,Yes,Yes,,,,,
Spring,Awdal,Borama,Xaliimaale Cadde,Xaliimaale,10.2316,43.1874,Yes,Yes,,,,,
Spring,Awdal,Borama,darey Macane Spring,Boorame,9.9767,43.2175,Yes,Yes,,,,,
Spring,Awdal,Borama,Laas Dhuure river,Xeego Town,10.0808,43.2582,No,Yes,,,,,
Spring,Awdal,Zeylac,Darbixoore,Darbixoore,10.5012,42.8822,no,No,,,,,
Spring,Awdal,Zeylac,Abdiqadir,Abdiqadir,10.5165,42.8883,no,Yes,,,,,
Spring,Awdal,Zeylac,Khadar ilyas,Khadar ilyas,10.5734,42.9964,no,Yes,,,,,
Spring,Awdal,Zeylac,Gargara galbeed,Gargara galbeed,10.7706,43.0421,no,Yes,,,,,
Spring,Awdal,Zeylac,Shiikhaware,Shiikhaware,10.4601,43.0528,yes,Yes,,,,,
Spring,Awdal,Zeylac,Hemaal,Hemaaaldhere,10.5598,43.1437,no,Yes,,,,,
Spring,Awdal,Zeylac,Wadajir,Wadajir,10.4775,43.154,no,Yes,,,,,
Spring,Awdal,Zeylac,Habaas,,10.43198,42.82333,,Yes,,,,,
Spring,Awdal,Zeylac,Mashruuca Dibira Weyne/S-002,,10.43198,42.82333,,Yes,,,,,
Berkad,Awdal,Borama,,,10.1772,43.1382,,,,,,3.0,
Berkad,Awdal,Borama,,,9.8287,43.3241,,,,,,3.5,
Berkad,Awdal,Borama,,,10.0584,43.0614,,,,,,4.0,
Berkad,Awdal,Borama,,,9.9453,43.1326,,,,,,4.0,
Berkad,Awdal,Borama,,,10.068,43.0537,,,,,,4.0,
Berkad,Awdal,Borama,,,9.9293,43.116,,,,,,4.0,
Berkad,Awdal,Borama,,,10.068,43.0537,,,,,,4.0,
Berkad,Awdal,Borama,Qalooc,Qalooc,9.7294,43.2922,yes,Yes,,,,3.0,
Berkad,Awdal,Borama,Shirwac,Shirwac,9.8398,43.2767,yes,No,,,,4.0,
Berkad,Awdal,Borama,,,9.7321,43.3049,,,,,,3.5,
Berkad,Awdal,Borama,,,9.7346,43.3033,,,,,,3.5,
Berkad,Awdal,Borama,,,9.7349,43.2905,,,,,,3.5,
Berkad,Awdal,Borama,,,9.8346,43.3121,,,,,,3.5,
Berkad,Awdal,Borama,,,9.7934,43.3361,,,,,,3.5,
Berkad,Awdal,Borama,,,9.8267,43.2851,,,,,,4.0,
Berkad,Awdal,Borama,,,9.8134,43.2885,,,,,,4.0,
Berkad,Awdal,Borama,,,9.8648,43.2323,,,,,,3.5,
Berkad,Awdal,Borama,,,10.0503,43.0624,,,,,,4.0,
Berkad,Awdal,Borama,,,9.9711,43.1731,,,,,,4.0,
Berkad,Awdal,Borama,,,10.0981,43.0798,,,,,,3.5,
Berkad,Awdal,Borama,,,10.0973,43.1118,,,,,,3.5,
Berkad,Awdal,Borama,,,10.106,43.0275,,,,,,3.7,
Berkad,Awdal,Borama,,,10.1998,43.1042,,,,,,3.5,
Berkad,Awdal,Borama,,,9.8118,43.2886,,,,,,3.5,
Berkad,Awdal,Borama,,,9.9453,43.1326,,,,,,4.0,
Berkad,Awdal,Borama,,,9.9293,43.116,,,,,,4.0,
Berkad,Awdal,Borama,,,10.0434,43.0891,,,,,,4.0,
Berkad,Awdal,Borama,,,9.9293,43.116,,,,,,4.0,
Berkad,Awdal,Borama,,,9.8676,43.2785,,,,,,4.0,
Others_Togga,Awdal,Borama,Ceel Baxay/T-011,,10.29525,42.96098,,Yes,,,,,
Others_Togga,Awdal,Baki,Dibad Valley/T-021,,10.31812,43.80807,,Yes,,,,,
Others_Togga,Awdal,Baki,Sheed-Dheer/T-019,,10.30117,43.52148,,Yes,,,,,
Others_Togga,Awdal,Baki,Dacawaley/T-016,,10.4358,43.64674,,Yes,,,,,
Others_Togga,Awdal,Borama,Saylac,,10.29525,42.96098,,Yes,,,,,
Others_Togga,Awdal,Borama,Dhagax madow,,10.23956,43.1766,,Yes,,,,,
Others_Togga,Awdal,Borama,Cara-Cad/T-009,,10.08005,43.07902,,Yes,,,,,
Others_Togga,Awdal,Borama,Jirjir,,10.08005,43.07902,,Yes,,,,,
Others_Togga,Awdal,Borama,Xariirad,,10.3236,42.83979,,Yes,,,,,
Others_Togga,Awdal,Borama,Xariirad/T-012,,10.3236,42.83979,,Yes,,,,,
Others_Togga,Awdal,Borama,Dagmo-Laqas/T-007,,9.9766,43.07329,,Yes,,,,,
Others_Togga,Awdal,Borama,Degmo_lagas,,9.9766,43.07329,,Yes,,,,,
Others_Togga,Awdal,Borama,Dhagaxa Madow/T-010,,10.23956,43.1766,,Yes,,,,,
Others_Togga,Awdal,Lughaye,Hadhwanaag/T-022,,10.66838,43.89196,,Yes,,,,,
Others_Togga,Awdal,Lughaye,Xussein/T-017,,10.56007,43.25002,,Yes,,,,,
Others_Togga,Awdal,Zeylac,Bariisle/T-014,,11.43215,43.29508,,Yes,,,,,
Others_Togga,Awdal,Zeylac,lawyacaddo tog,,11.43215,43.29508,,Yes,,,,,
Others_Togga,Awdal,Zeylac,Odawaa/T-015,,11.09402,43.52708,,Yes,,,,,
Others_Togga,Awdal,Zeylac,Sheikh Awaare/T-018,,10.55536,43.13724,,Yes,,,,,
Others_Togga,Awdal,Zeylac,Jidhi/T-013,,10.60266,43.0442,,Yes,,,,,
Others_Togga,Awdal,Zeylac,Jidhi_a,,10.60266,43.0442,,Yes,,,,,
Dug Well,Awdal,Borama,Cad Cad 5,Jaaraa Horoto,9.8634,43.3266,Yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Xalimale,Boon,10.20124,43.04693,,Yes,,2.0,,,
Dug Well,Awdal,baki,Baki 6,Baki,10.0270341,43.3684144,yes,Yes,,,,,
Dug Well,Awdal,baki,Xil. Mahdi,Baki ,10.0294702,43.3676656,yes,Yes,,6.0,,,
Dug Well,Awdal,borama,Carro-weyn dug well,Carro weyn,10.2770499,43.4122033,yes,Yes,,4.0,,,
Dug Well,Awdal,lughaye,Geerisa dug well,Geerisa ,10.6083806,43.4322298,yes,Yes,,12.0,,,
Dug Well,Awdal,lughaye,Gargaara bari,Gargaara,10.3088798,43.8060581,yes,Yes,,4.0,,,
Dug Well,Awdal,zeylac,Aasha caddo,caasha caddo,11.1747362,43.4406391,yes,Yes,,4.0,,,
Dug Well,Awdal,baki,Baki 2,Baki,10.0279884,43.3705481,yes,Yes,,4.0,,,
Dug Well,Awdal,baki,Baki dug well 1,Baki,10.027075,43.3709305,yes,Yes,,4.0,,,
Dug Well,Awdal,zeylac,Bariisle,Lawyo codo,11.42396,43.29576,yes,Yes,,4.0,,,
Dug Well,Awdal,zeylac,Sheed dheer dug well,Sheed dheer,10.3008612,43.5226104,yes,Yes,,5.0,,,
Dug Well,Awdal,zeylac,Garbodadar dug well,Garbodadar,10.2208626,43.6261773,yes,Yes,,3.0,,,
Dug Well,Awdal,zeylac,Xariirad dug wells,Xariirad,10.32369,42.83967,yes,Yes,,2.0,,,
Dug Well,Awdal,zeylac,Xariirad dug well,Xariirad,10.3266971,42.8408477,yes,Yes,,2.0,,,
Dug Well,Awdal,zeylac,C.qadir dug well,C.qadir,10.5148562,42.8891548,yes,Yes,,2.0,,,
Dug Well,Awdal,lughaye,Tuurka dug well,Tuurka,10.283607,43.72925,yes,Yes,,4.0,,,
Dug Well,Awdal,lughaye,Cabdi geedi dugwell,Cabdi geedi,10.5072242,44.0594218,yes,Yes,,12.0,,,
Dug Well,Awdal,baki,Baki 4,Baki,10.0275331,43.3689784,yes,Yes,,5.0,,,
Dug Well,Awdal,zeylac,Dabadilaac BH,Daba dilaac,10.3803895,43.2572757,yes,Yes,,6.0,,,
Dug Well,Awdal,zeylac,Gab dug well,Gab,10.3206462,43.4905879,yes,Yes,,3.0,,,
Dug Well,Awdal,baki,Abdi Ahmed Dugwell,Baki,10.0253504,43.3706647,yes,Yes,,13.0,,,
Dug Well,Awdal,borama,Xooga cadaada dug well,Xooga cadaada,10.1518605,43.0595909,yes,Yes,,9.0,,,
Dug Well,Awdal,baki,Baki 7,Baki,10.0266271,43.3711706,yes,Yes,,4.0,,,
Borehole,Awdal,borama,Ilma xuseen haddi,Camuud,9.9500027,43.2287519,yes,No,80.0,,,,
Dug Well,Awdal,baki,Baki dug well,Baki,10.0268887,43.3708927,yes,No,,5.0,,,
Borehole,Awdal,borama,Dhamuug 1,Dhamuug,9.9512105,43.2164363,no,Abandoned,,,,,
Borehole,Awdal,borama,Fiqi aadan BH,Boon,10.37231,43.192602,yes,No,,,,,
Dug Well,Awdal,lughaye,Ceel sheikh,Ceel sheekh,10.4155095,44.2900121,no,No,,10.0,,,
Borehole,Awdal,borama,Shaaba 4,Dhamuug,9.9493974,43.2197272,no,Abandoned,,,,,
Borehole,Awdal,borama,Shaaba 14,Camuud,9.9376283,43.2219744,no,Abandoned,,,,,
Borehole,Awdal,lughaye,Xaaji xuseen BH,Xaaji xuseen,10.6285946,43.6126729,yes,No,80.0,,,,
Borehole,Awdal,borama,Shaaba 7,Camuud,9.9472699,43.2243669,no,Abandoned,,,,,
Borehole,Awdal,borama,Shaaba 29,Afraaga,9.9354794,43.080968,yes,No,116.0,,,,
Borehole,Awdal,borama,Dhamuug 3,Dhamuug,9.9504006,43.2160525,no,No,,,,,
Borehole,Awdal,borama,Shaaba 6,Camuud,9.9463458,43.2241934,no,Abandoned,,,,,
Borehole,Awdal,borama,Shaaba 27,Afraaga,9.9431062,43.0760915,yes,No,115.0,,,,
